zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
80351006,,239,0,0,0,0,0,0,0,0,nan,0,0
80351010,,8874,0,0,0,0,0,0,0,0,nan,0,0
80351012,,1693,0,0,0,0,0,0,0,0,nan,0,0
80371001,,24011,0,0,0,0,0,0,0,0,nan,0,0
80371004,,855,0,0,0,0,0,0,0,0,nan,0,0
80371006,,456,0,0,0,0,0,0,0,0,nan,0,0
80371007,,24845,0,0,0,0,0,0,0,0,nan,0,0
80371008,,322,0,0,0,0,0,0,0,0,nan,0,0
80371010,,1274,0,0,0,0,0,0,0,0,nan,0,0
80371011,,66,0,0,0,0,0,0,0,0,nan,0,0
80391004,,6,0,0,0,0,0,0,0,0,nan,0,0
80391006,,168,0,0,0,0,0,0,0,0,nan,0,0
80391008,,16214,0,0,0,0,0,0,0,0,nan,0,0
80411002,,34183,0,0,0,0,0,0,0,0,nan,0,0
80411004,,200026,0,0,0,0,0,0,0,0,nan,0,0
80411006,,2108,0,0,0,0,0,0,0,0,nan,0,0
80411008,,263697,0,0,0,0,0,0,0,0,nan,0,0
80411010,,8271,0,0,0,0,0,0,0,0,nan,0,0
80411011,,8479,0,0,0,0,0,0,0,0,nan,0,0
80431001,,3118,0,0,0,0,0,0,0,0,nan,0,0
80431002,,131,0,0,0,0,0,0,0,0,nan,0,0
80431006,,22661,0,0,0,0,0,0,0,0,nan,0,0
80431007,,2102,0,0,0,0,0,0,0,0,nan,0,0
80431008,,11102,0,0,0,0,0,0,0,0,nan,0,0
80431010,,1,0,0,0,0,0,0,0,0,nan,0,0
80431011,,4043,0,0,0,0,0,0,0,0,nan,0,0
80451001,,815,0,0,0,0,0,0,0,0,nan,0,0
80451004,,119,0,0,0,0,0,0,0,0,nan,0,0
80451006,,22835,0,0,0,0,0,0,0,0,nan,0,0
80451007,,1,0,0,0,0,0,0,0,0,nan,0,0
80451010,,888,0,0,0,0,0,0,0,0,nan,0,0
80451011,,80,0,0,0,0,0,0,0,0,nan,0,0
80451012,,20815,0,0,0,0,0,0,0,0,nan,0,0
80471006,,33,0,0,0,0,0,0,0,0,nan,0,0
80471007,,13,0,0,0,0,0,0,0,0,nan,0,0
80471010,,10437,0,0,0,0,0,0,0,0,nan,0,0
80471011,,406,0,0,0,0,0,0,0,0,nan,0,0
80491001,,596687,0,0,0,0,0,0,0,0,nan,0,0
80491004,,17027,0,0,0,0,0,0,0,0,nan,0,0
80491005,,1029282,0,0,0,0,0,0,0,0,nan,0,0
80491006,,467914,0,0,0,0,0,0,0,0,nan,0,0
80491007,,16,0,0,0,0,0,0,0,0,nan,0,0
80491008,,952653,0,0,0,0,0,0,0,0,nan,0,0
80491010,,1888,0,0,0,0,0,0,0,0,nan,0,0
80491011,,490974,0,0,0,0,0,0,0,0,nan,0,0
80511001,,1801,0,0,0,0,0,0,0,0,nan,0,0
80511004,,134,0,0,0,0,0,0,0,0,nan,0,0
80511005,,4389,0,0,0,0,0,0,0,0,nan,0,0
80511006,,1377,0,0,0,0,0,0,0,0,nan,0,0
80511007,,12,0,0,0,0,0,0,0,0,nan,0,0
80511008,,1462,0,0,0,0,0,0,0,0,nan,0,0
80511010,,257,0,0,0,0,0,0,0,0,nan,0,0
80511011,,3,0,0,0,0,0,0,0,0,nan,0,0
80511012,,375,0,0,0,0,0,0,0,0,nan,0,0
80531001,,2182,0,0,0,0,0,0,0,0,nan,0,0
80531006,,93,0,0,0,0,0,0,0,0,nan,0,0
80531007,,3301,0,0,0,0,0,0,0,0,nan,0,0
80531010,,70476,0,0,0,0,0,0,0,0,nan,0,0
80531011,,443,0,0,0,0,0,0,0,0,nan,0,0
80551001,,50,0,0,0,0,0,0,0,0,nan,0,0
80551004,,449523,0,0,0,0,0,0,0,0,nan,0,0
80551006,,1340,0,0,0,0,0,0,0,0,nan,0,0
80551007,,2595,0,0,0,0,0,0,0,0,nan,0,0
80551008,,666451,0,0,0,0,0,0,0,0,nan,0,0
80551010,,15378,0,0,0,0,0,0,0,0,nan,0,0
80551011,,9175,0,0,0,0,0,0,0,0,nan,0,0
80571001,,97888,0,0,0,0,0,0,0,0,nan,0,0
80571003,,99538,0,0,0,0,0,0,0,0,nan,0,0
80571006,,97240,0,0,0,0,0,0,0,0,nan,0,0
80571007,,56740,0,0,0,0,0,0,0,0,nan,0,0
80571008,,5078,0,0,0,0,0,0,0,0,nan,0,0
80571010,,733967,0,0,0,0,0,0,0,0,nan,0,0
80571011,,988078,0,0,0,0,0,0,0,0,nan,0,0
80591003,,491108,0,0,0,0,0,0,0,0,nan,0,0
80591004,,16,0,0,0,0,0,0,0,0,nan,0,0
80591006,,33036,0,0,0,0,0,0,0,0,nan,0,0
80591007,,325894,0,0,0,0,0,0,0,0,nan,0,0
80591008,,168017,0,0,0,0,0,0,0,0,nan,0,0
80591010,,100380,0,0,0,0,0,0,0,0,nan,0,0
80591011,,43,0,0,0,0,0,0,0,0,nan,0,0
80591012,,477497,0,0,0,0,0,0,0,0,nan,0,0
80611001,,552,0,0,0,0,0,0,0,0,nan,0,0
80611006,,160,0,0,0,0,0,0,0,0,nan,0,0
80611007,,7947,0,0,0,0,0,0,0,0,nan,0,0
80611008,,1116,0,0,0,0,0,0,0,0,nan,0,0
80631006,,9,0,0,0,0,0,0,0,0,nan,0,0
80651001,,97343,0,0,0,0,0,0,0,0,nan,0,0
80651003,,5640,0,0,0,0,0,0,0,0,nan,0,0
80651004,,247,0,0,0,0,0,0,0,0,nan,0,0
80651006,,83,0,0,0,0,0,0,0,0,nan,0,0
80651008,,11780,0,0,0,0,0,0,0,0,nan,0,0
80651010,,43121,0,0,0,0,0,0,0,0,nan,0,0
80651011,,802,0,0,0,0,0,0,0,0,nan,0,0
80671001,,26,0,0,0,0,0,0,0,0,nan,0,0
80671006,,13805,0,0,0,0,0,0,0,0,nan,0,0
80671007,,37,0,0,0,0,0,0,0,0,nan,0,0
80671008,,1462,0,0,0,0,0,0,0,0,nan,0,0
80671009,,8026,0,0,0,0,0,0,0,0,nan,0,0
80671010,,12056,0,0,0,0,0,0,0,0,nan,0,0
80671011,,2377261,0,0,0,0,0,0,0,0,nan,0,0
80691001,,39399,0,0,0,0,0,0,0,0,nan,0,0
80691004,,1905,0,0,0,0,0,0,0,0,nan,0,0
80691005,,19,0,0,0,0,0,0,0,0,nan,0,0
80691006,,119854,0,0,0,0,0,0,0,0,nan,0,0
80691007,,1886,0,0,0,0,0,0,0,0,nan,0,0
80691008,,289408,0,0,0,0,0,0,0,0,nan,0,0
80691010,,106182,0,0,0,0,0,0,0,0,nan,0,0
80691011,,17,0,0,0,0,0,0,0,0,nan,0,0
80711001,,532968,0,0,0,0,0,0,0,0,nan,0,0
80711002,,30970,0,0,0,0,0,0,0,0,nan,0,0
80711004,,762,0,0,0,0,0,0,0,0,nan,0,0
80711006,,6,0,0,0,0,0,0,0,0,nan,0,0
80711007,,22939,0,0,0,0,0,0,0,0,nan,0,0
80711008,,262,0,0,0,0,0,0,0,0,nan,0,0
80711010,,14,0,0,0,0,0,0,0,0,nan,0,0
80711011,,190,0,0,0,0,0,0,0,0,nan,0,0
80731001,,80457,0,0,0,0,0,0,0,0,nan,0,0
80731006,,19278,0,0,0,0,0,0,0,0,nan,0,0
80731008,,32758,0,0,0,0,0,0,0,0,nan,0,0
80751001,,400,0,0,0,0,0,0,0,0,nan,0,0
80751004,,2138,0,0,0,0,0,0,0,0,nan,0,0
80751006,,276,0,0,0,0,0,0,0,0,nan,0,0
80751007,,22655,0,0,0,0,0,0,0,0,nan,0,0
80751008,,1843,0,0,0,0,0,0,0,0,nan,0,0
80771001,,684676,0,0,0,0,0,0,0,0,nan,0,0
80771004,,20541,0,0,0,0,0,0,0,0,nan,0,0
80771005,,42583,0,0,0,0,0,0,0,0,nan,0,0
80771006,,9602,0,0,0,0,0,0,0,0,nan,0,0
80771007,,279,0,0,0,0,0,0,0,0,nan,0,0
80771008,,143,0,0,0,0,0,0,0,0,nan,0,0
80771010,,21976,0,0,0,0,0,0,0,0,nan,0,0
80771011,,2,0,0,0,0,0,0,0,0,nan,0,0
80771012,,174926,0,0,0,0,0,0,0,0,nan,0,0
80791006,,6,0,0,0,0,0,0,0,0,nan,0,0
80791010,,21189,0,0,0,0,0,0,0,0,nan,0,0
80791011,,61,0,0,0,0,0,0,0,0,nan,0,0
80811001,,1536,0,0,0,0,0,0,0,0,nan,0,0
80811003,,995,0,0,0,0,0,0,0,0,nan,0,0
80811004,,254,0,0,0,0,0,0,0,0,nan,0,0
80811005,,6,0,0,0,0,0,0,0,0,nan,0,0
80811006,,19,0,0,0,0,0,0,0,0,nan,0,0
80811007,,486,0,0,0,0,0,0,0,0,nan,0,0
80811008,,209046,0,0,0,0,0,0,0,0,nan,0,0
80811010,,493,0,0,0,0,0,0,0,0,nan,0,0
80811011,,31167,0,0,0,0,0,0,0,0,nan,0,0
80831001,,4201,0,0,0,0,0,0,0,0,nan,0,0
80831004,,1,0,0,0,0,0,0,0,0,nan,0,0
80831005,,195538,0,0,0,0,0,0,0,0,nan,0,0
80831006,,2070,0,0,0,0,0,0,0,0,nan,0,0
80831007,,1169,0,0,0,0,0,0,0,0,nan,0,0
80831008,,33,0,0,0,0,0,0,0,0,nan,0,0
80831009,,507,0,0,0,0,0,0,0,0,nan,0,0
80831010,,120273,0,0,0,0,0,0,0,0,nan,0,0
80831011,,33,0,0,0,0,0,0,0,0,nan,0,0
80851001,,3673,0,0,0,0,0,0,0,0,nan,0,0
80851004,,438540,0,0,0,0,0,0,0,0,nan,0,0
80851005,,8712,0,0,0,0,0,0,0,0,nan,0,0
