zone,label,non_null,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800109203,,2245,0,0,148.3348694,148.3348694,78.80239529,78.80239529,18.87826608,356.3889303,0.239564623,176911.3774,176911.3774
800109204,,1960,0,0,480.0030212,480.0030212,88.86590063,88.86590063,42.2660234,1786.416734,0.475615766,174177.1652,174177.1652
800109206,,7470,0,0,207.8931122,207.8931122,66.57741601,66.57741601,18.08847406,327.1928938,0.27169084,497333.2976,497333.2976
800109207,,77,0,0,144.6784668,144.6784668,97.3131813,97.3131813,23.84729653,568.693552,0.245057208,7493.11496,7493.11496
800109208,,241,0,0,111.5345001,111.5345001,83.81108796,83.81108796,21.1252068,446.2743625,0.252057422,20198.4722,20198.4722
800109802,,2602,0,0,80.64992523,80.64992523,52.67287224,52.67287224,23.00002666,529.0012265,0.436657917,137054.8136,137054.8136
800109803,,3825,0,0,142.1659851,142.1659851,53.50133723,53.50133723,11.32911247,128.3487894,0.211753819,204642.6149,204642.6149
800109804,,18420,0,0,199.9591675,199.9591675,68.52690949,68.52690949,20.16267652,406.5335245,0.294230058,1262265.673,1262265.673
800109806,,447161,0,0,159.9988251,159.9988251,52.85496832,52.85496832,18.5247429,343.1660994,0.350482528,23634680.49,23634680.49
800109807,,134,0,0,177.2728119,177.2728119,68.55287216,68.55287216,15.72914812,247.4061005,0.229445501,9186.084869,9186.084869
800109808,,2899,0,38.4171524,108.3664703,69.9493179,46.50706613,46.50706613,5.496766628,30.21444336,0.118192075,134823.9847,134823.9847
800109903,,16035,0,0,122.3498917,122.3498917,54.20091845,54.20091845,6.226459933,38.7688033,0.114877388,869111.7274,869111.7274
800109904,,10661,0,0,184.0800323,184.0800323,62.80994831,62.80994831,17.25367094,297.6891608,0.274696468,669616.8589,669616.8589
800109906,,1955773,0,0,289.8439636,289.8439636,46.85215356,46.85215356,5.951771939,35.42358921,0.127033049,91632176.93,91632176.93
800109907,,1943,0,0,177.2728119,177.2728119,70.22155533,70.22155533,15.75242851,248.139004,0.224324688,136440.482,136440.482
800109908,,48643,0,36.32875824,87.53720856,51.20845032,45.43615186,45.43615186,2.954954662,8.731757056,0.06503532,2210150.735,2210150.735
800301001,,3224,0,0,135.3749084,135.3749084,33.77288034,33.77288034,8.670461476,75.1769022,0.256728517,108883.7662,108883.7662
800301003,,501,0,0,74.36494446,74.36494446,41.78325497,41.78325497,7.120950933,50.70794218,0.17042595,20933.41074,20933.41074
800301005,,4834,0,27.74664688,76.63785553,48.89120865,35.71606032,35.71606032,6.512257265,42.40949468,0.182334143,172651.4356,172651.4356
800301006,,9067,0,0,291.6210938,291.6210938,47.47522634,47.47522634,30.34390876,920.7527989,0.639152482,430457.8772,430457.8772
800301007,,66,0,0,67.20587921,67.20587921,37.98623738,37.98623738,13.02008736,169.5226747,0.342758016,2507.091667,2507.091667
800301008,,1116,0,0,134.8217773,134.8217773,42.846125,42.846125,19.46031726,378.7039478,0.454190834,47816.2755,47816.2755
800301010,,6589,0,0,469.6209106,469.6209106,165.1460279,165.1460279,44.58402494,1987.73528,0.269967286,1088147.178,1088147.178
800301011,,41582,0,0,369.1310425,369.1310425,109.3017913,109.3017913,55.87730975,3122.273745,0.511220439,4544987.084,4544987.084
800302005,,1,0,130.6211548,130.6211548,0,130.6211548,130.6211548,0,0,0,130.6211548,130.6211548
800302006,,26,0,135.9219666,154.8361053,18.9141387,145.4639975,145.4639975,5.235186338,27.40717599,0.035989567,3782.063934,3782.063934
800302010,,235,0,0,469.6209106,469.6209106,192.3110208,192.3110208,50.87354608,2588.117691,0.264537861,45193.08988,45193.08988
800302011,,2353,0,98.55909729,335.1925659,236.6334686,167.9845255,167.9845255,33.49365614,1121.825002,0.199385366,395267.5884,395267.5884
800303001,,2483,0,26.24608421,238.3417969,212.0957127,42.49492766,42.49492766,15.41907683,237.7479304,0.362845113,105514.9054,105514.9054
800303003,,333,0,0,82.8946228,82.8946228,39.92370923,39.92370923,7.376535861,54.41328131,0.184765795,13294.59517,13294.59517
800303005,,221,0,28.30664444,55.36907196,27.06242752,36.60760763,36.60760763,5.066852503,25.67299429,0.138409823,8090.281286,8090.281286
800303006,,3747,0,0,113.3360748,113.3360748,40.1671962,40.1671962,8.422745016,70.9426336,0.209692132,150506.4841,150506.4841
800303008,,463,0,0,65.42002869,65.42002869,36.42808889,36.42808889,9.371657156,87.82795785,0.257264585,16866.20515,16866.20515
800303011,,1880,0,32.4472847,60.50947189,28.06218719,41.94700565,41.94700565,5.897099891,34.77578712,0.140584526,78860.37062,78860.37062
800303106,,174,0,0,124.6405411,124.6405411,40.33438658,40.33438658,49.96318586,2496.319941,1.238724327,7018.183266,7018.183266
800304001,,1020,0,0,115.6901855,115.6901855,40.23054703,40.23054703,13.49660429,182.1583273,0.335481501,41035.15797,41035.15797
800304003,,1629,0,0,139.2617493,139.2617493,54.97207585,54.97207585,15.55263178,241.8843552,0.282918764,89549.51156,89549.51156
800304005,,673,0,24.23908615,87.52501678,63.28593063,44.00421291,44.00421291,12.34952009,152.5106464,0.28064404,29614.83529,29614.83529
800304006,,21404,0,0,226.2621307,226.2621307,50.44643246,50.44643246,15.23997534,232.2568483,0.302102143,1079755.44,1079755.44
800304007,,50,0,0,86.04103088,86.04103088,40.57375175,40.57375175,10.93622255,119.6009637,0.269539347,2028.687588,2028.687588
800304008,,646,0,0,251.8344727,251.8344727,77.40242971,77.40242971,37.0558986,1373.139621,0.478743351,50001.9696,50001.9696
800304011,,286,0,32.9056015,191.3180847,158.4124832,53.52292545,53.52292545,26.31180501,692.3110831,0.491598783,15307.55668,15307.55668
800305001,,111366,0,0,243.0761261,243.0761261,37.1318003,37.1318003,9.262138673,85.7872128,0.249439526,4135220.072,4135220.072
800305003,,29635,0,0,129.4515686,129.4515686,40.6832853,40.6832853,7.872552006,61.97707508,0.193508266,1205649.16,1205649.16
800305005,,54876,0,22.88764954,131.0360718,108.1484223,34.84129797,34.84129797,7.990047084,63.8408524,0.229326907,1911951.067,1911951.067
800305006,,618583,0,0,334.7624817,334.7624817,38.8798414,38.8798414,11.27579269,127.1435007,0.290016427,24050408.93,24050408.93
800305007,,1169,0,0,122.5898895,122.5898895,40.96672152,40.96672152,10.11302883,102.2733521,0.246859608,47890.09745,47890.09745
800305008,,52144,0,0,251.8344727,251.8344727,41.07946154,41.07946154,23.34798053,545.1281948,0.568361406,2142047.442,2142047.442
800305010,,96,0,107.7813873,247.5429688,139.7615815,140.4252317,140.4252317,24.51481112,600.9759644,0.174575543,13480.82224,13480.82224
800305011,,26553,0,0,304.4324646,304.4324646,42.50703553,42.50703553,19.81669389,392.7013568,0.466197975,1128689.314,1128689.314
800307001,,150,0,0,104.9078827,104.9078827,49.15121302,49.15121302,19.05460091,363.0778157,0.387673055,7372.681953,7372.681953
800307003,,1730,0,0,139.3799591,139.3799591,80.11945329,80.11945329,24.17675236,584.5153548,0.301758828,138606.6542,138606.6542
800307005,,404,0,29.010849,114.6095963,85.5987473,58.06763072,58.06763072,19.66873593,386.8591731,0.338721172,23459.32281,23459.32281
800307006,,30598,0,0,255.4917908,255.4917908,66.24336059,66.24336059,19.8060812,392.2808527,0.29898968,2026914.347,2026914.347
800307007,,246,0,0,244.0240936,244.0240936,88.74622187,88.74622187,49.22912156,2423.506409,0.554717942,21831.57058,21831.57058
800307008,,562,0,0,224.4599915,224.4599915,79.40135365,79.40135365,23.92376516,572.3465395,0.301301729,44623.56075,44623.56075
