zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
803501006,,239,0,0,0,0,0,0,0,0,nan,0,0
803501010,,8874,0,0,0,0,0,0,0,0,nan,0,0
803501012,,1693,0,0,0,0,0,0,0,0,nan,0,0
803701001,,24011,0,0,0,0,0,0,0,0,nan,0,0
803701004,,855,0,0,0,0,0,0,0,0,nan,0,0
803701006,,456,0,0,0,0,0,0,0,0,nan,0,0
803701007,,24845,0,0,0,0,0,0,0,0,nan,0,0
803701008,,322,0,0,0,0,0,0,0,0,nan,0,0
803701010,,1274,0,0,0,0,0,0,0,0,nan,0,0
803701011,,66,0,0,0,0,0,0,0,0,nan,0,0
803901004,,6,0,0,0,0,0,0,0,0,nan,0,0
803901006,,168,0,0,0,0,0,0,0,0,nan,0,0
803901008,,16214,0,0,0,0,0,0,0,0,nan,0,0
804101002,,34183,0,0,0,0,0,0,0,0,nan,0,0
804101004,,200026,0,0,0,0,0,0,0,0,nan,0,0
804101006,,2108,0,0,0,0,0,0,0,0,nan,0,0
804101008,,263697,0,0,0,0,0,0,0,0,nan,0,0
804101010,,8271,0,0,0,0,0,0,0,0,nan,0,0
804101011,,8479,0,0,0,0,0,0,0,0,nan,0,0
804301001,,3118,0,0,0,0,0,0,0,0,nan,0,0
804301002,,131,0,0,0,0,0,0,0,0,nan,0,0
804301006,,22661,0,0,0,0,0,0,0,0,nan,0,0
804301007,,2102,0,0,0,0,0,0,0,0,nan,0,0
804301008,,11102,0,0,0,0,0,0,0,0,nan,0,0
804301010,,1,0,0,0,0,0,0,0,0,nan,0,0
804301011,,4043,0,0,0,0,0,0,0,0,nan,0,0
804501001,,815,0,0,0,0,0,0,0,0,nan,0,0
804501004,,119,0,0,0,0,0,0,0,0,nan,0,0
804501006,,22835,0,0,0,0,0,0,0,0,nan,0,0
804501007,,1,0,0,0,0,0,0,0,0,nan,0,0
804501010,,888,0,0,0,0,0,0,0,0,nan,0,0
804501011,,80,0,0,0,0,0,0,0,0,nan,0,0
804501012,,20815,0,0,0,0,0,0,0,0,nan,0,0
804701006,,33,0,0,0,0,0,0,0,0,nan,0,0
804701007,,13,0,0,0,0,0,0,0,0,nan,0,0
804701010,,10437,0,0,0,0,0,0,0,0,nan,0,0
804701011,,406,0,0,0,0,0,0,0,0,nan,0,0
804901001,,596687,0,0,0,0,0,0,0,0,nan,0,0
804901004,,17027,0,0,0,0,0,0,0,0,nan,0,0
804901005,,1029282,0,0,0,0,0,0,0,0,nan,0,0
804901006,,467914,0,0,0,0,0,0,0,0,nan,0,0
804901007,,16,0,0,0,0,0,0,0,0,nan,0,0
804901008,,952653,0,0,0,0,0,0,0,0,nan,0,0
804901010,,1888,0,0,0,0,0,0,0,0,nan,0,0
804901011,,490974,0,0,0,0,0,0,0,0,nan,0,0
805101001,,1801,0,0,0,0,0,0,0,0,nan,0,0
805101004,,134,0,0,0,0,0,0,0,0,nan,0,0
805101005,,4389,0,0,0,0,0,0,0,0,nan,0,0
805101006,,1377,0,0,0,0,0,0,0,0,nan,0,0
805101007,,12,0,0,0,0,0,0,0,0,nan,0,0
805101008,,1462,0,0,0,0,0,0,0,0,nan,0,0
805101010,,257,0,0,0,0,0,0,0,0,nan,0,0
805101011,,3,0,0,0,0,0,0,0,0,nan,0,0
805101012,,375,0,0,0,0,0,0,0,0,nan,0,0
805301001,,2182,0,0,0,0,0,0,0,0,nan,0,0
805301006,,93,0,0,0,0,0,0,0,0,nan,0,0
805301007,,3301,0,0,0,0,0,0,0,0,nan,0,0
805301010,,70476,0,0,0,0,0,0,0,0,nan,0,0
805301011,,443,0,0,0,0,0,0,0,0,nan,0,0
805501001,,50,0,0,0,0,0,0,0,0,nan,0,0
805501004,,449523,0,0,0,0,0,0,0,0,nan,0,0
805501006,,1340,0,0,0,0,0,0,0,0,nan,0,0
805501007,,2595,0,0,0,0,0,0,0,0,nan,0,0
805501008,,666451,0,0,0,0,0,0,0,0,nan,0,0
805501010,,15378,0,0,0,0,0,0,0,0,nan,0,0
805501011,,9175,0,0,0,0,0,0,0,0,nan,0,0
805701001,,97888,0,0,0,0,0,0,0,0,nan,0,0
805701003,,99538,0,0,0,0,0,0,0,0,nan,0,0
805701006,,97240,0,0,0,0,0,0,0,0,nan,0,0
805701007,,56740,0,0,0,0,0,0,0,0,nan,0,0
805701008,,5078,0,0,0,0,0,0,0,0,nan,0,0
805701010,,733967,0,0,0,0,0,0,0,0,nan,0,0
805701011,,988078,0,0,0,0,0,0,0,0,nan,0,0
805901003,,491108,0,0,0,0,0,0,0,0,nan,0,0
805901004,,16,0,0,0,0,0,0,0,0,nan,0,0
805901006,,33036,0,0,0,0,0,0,0,0,nan,0,0
805901007,,325894,0,0,0,0,0,0,0,0,nan,0,0
805901008,,168017,0,0,0,0,0,0,0,0,nan,0,0
805901010,,100380,0,0,0,0,0,0,0,0,nan,0,0
805901011,,43,0,0,0,0,0,0,0,0,nan,0,0
805901012,,477497,0,0,0,0,0,0,0,0,nan,0,0
806101001,,552,0,0,0,0,0,0,0,0,nan,0,0
806101006,,160,0,0,0,0,0,0,0,0,nan,0,0
806101007,,7947,0,0,0,0,0,0,0,0,nan,0,0
806101008,,1116,0,0,0,0,0,0,0,0,nan,0,0
