zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
800101002,,6,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800101003,,53,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800101004,,53,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800101006,,599,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301001,,3224,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301003,,501,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301005,,4834,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301006,,9067,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301007,,66,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301008,,1116,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301010,,6589,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800301011,,41582,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800501002,,54,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800501004,,87,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800501006,,1505,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800501008,,177,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800501012,,8,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701001,,5,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701006,,14991,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701007,,1,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701009,,185,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701010,,6505,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701011,,31164,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800701012,,25,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
800901001,,1,0,0,0.376000006,0.376000006,0.375794802,0.375794802,0.008781477,7.71E-05,2.336774408,2525022.022,2525022.022
