Landcat,A2_y2015,A2_y2016,A2_y2017,A2_y2018,A2_y2019,A2_y2020,A2_y2021,A2_y2022,A2_y2023,A2_y2024,A2_y2025,A2_y2026,A2_y2027,A2_y2028,A2_y2029,A2_y2030,A2_y2031,A2_y2032,A2_y2033,A2_y2034,A2_y2035,A2_y2036,A2_y2037,A2_y2038,A2_y2039,A2_y2040,A2_y2041,A2_y2042,A2_y2043,A2_y2044,A2_y2045,A2_y2046,A2_y2047,A2_y2048,A2_y2049,A2_y2050
80019904,7410,7410,7410,7328,7264,7256,7256,7230,7230,7230,7227,7104,7040,6977,6901,6901,6901,6839,6835,6801,6725,6725,6711,6704,6640,6559,6569,6623,6623,6623,6623,6551,6528,6488,6488,6488
80019906,1476372,1476820,1477122,1477399,1475695,1475720,1474262,1473557,1472561,1471135,1470746,1467486,1464064,1460423,1456518,1452908,1451072,1448872,1445342,1443807,1441854,1434256,1428668,1423255,1416904,1409207,1408935,1408311,1407890,1407745,1406940,1406649,1407247,1409081,1408552,1408115
80019907,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1010,1010,1010,1010,1010,1010,1010,1010,1010,1010
80019908,42167,42490,42490,42655,42727,42727,42727,42655,42655,42583,42583,42433,41943,41943,41921,41810,41810,41810,41802,41802,41802,41767,41246,40891,40810,40810,40810,40810,40810,40810,40871,40871,40931,41075,41075,41401
80019904,6293,6293,6293,6293,6293,6293,6258,6134,6134,6121,6121,6099,6099,6099,6080,6080,6080,6080,6080,6080,6071,6071,6041,6041,6041,6037,6032,6017,6017,6017,6019,6019,6019,6019,6019,6019
80019906,124861,124877,125566,126800,127004,127004,127239,127234,127387,127255,127255,127745,127898,127898,128189,128125,127989,127788,127716,127716,127524,127932,128306,128923,129754,130279,131317,133521,133593,133665,133689,133961,134378,134514,134514,134459
80019907,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406
80019908,505,505,505,505,505,505,505,505,505,505,505,645,645,645,645,645,645,645,645,645,645,645,645,645,705,705,705,705,705,705,705,641,641,641,641,641
80019106,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
80019204,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,57,57,57,57,57,57,57,57,57,57
80019206,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,440,440,440,440,440,440,440,368,368,368
80019207,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
80039001,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127
