zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
105004,,188584,16925,0.357431297,944.1936719,943.8362406,62.54940292,62.54940292,48.40515746,2343.059268,77.38708156,11795816.6,11795816.6
105005,,71051,718,8.758483887,386.5369141,377.7784302,56.51692156,56.51692156,57.85489398,3347.188757,102.3673837,4015583.794,4015583.794
105006,,259567,5860,0.549155045,248.7053125,248.1561575,22.54056162,22.54056162,17.4753207,305.3868335,77.52832868,5850785.958,5850785.958
105007,,3307178,263881,0.139407978,2342.36625,2342.226842,60.04252013,60.04252013,48.5416431,2356.291115,80.84544585,198571301.6,198571301.6
105008,,168161,15899,0.139407978,2342.36625,2342.226842,46.9923538,46.9923538,62.6380964,3923.53112,133.2942305,7902281.207,7902281.207
105009,,456528,13150,0.549155045,243.2604297,242.7112746,24.95692957,24.95692957,14.4822655,209.7360139,58.02903541,11393537.14,11393537.14
106001,,676794,54847,0.549155045,285.7040625,285.1549075,28.80133201,28.80133201,27.74075062,769.549245,96.31759604,19492568.7,19492568.7
106002,,425650,3500,3.235493164,299.7440039,296.5085107,82.21390067,82.21390067,54.7590034,2998.548453,66.60552893,34994346.82,34994346.82
106003,,497821,4451,0.139407978,944.1936719,944.0542639,70.66943092,70.66943092,49.19282964,2419.934488,69.60977187,35180726.77,35180726.77
106004,,431629,9204,0.357431297,303.4908008,303.1333695,75.60113765,75.60113765,40.92047899,1674.485601,54.1268032,32631643.44,32631643.44
106005,,14637,81,8.758483887,386.5369141,377.7784302,74.19937578,74.19937578,66.83511822,4466.933027,90.07504108,1086056.263,1086056.263
106006,,819575,2814,0.549155045,248.7053125,248.1561575,32.54146548,32.54146548,31.58939127,997.8896405,97.0742737,26670171.57,26670171.57
106007,,9402983,203150,0.139407978,944.1936719,944.0542639,67.14804132,67.14804132,50.66585214,2567.028573,75.4539539,631391891,631391891
106008,,386881,7697,0.549155045,2342.36625,2341.817095,52.54942215,52.54942215,44.93063825,2018.762253,85.50167901,20330372.99,20330372.99
106009,,283721,2214,0.549155045,221.7516211,221.202466,33.91687185,33.91687185,28.69418868,823.3564641,84.60151871,9622928.797,9622928.797
107001,,274014,18617,0.549155045,285.7040625,285.1549075,52.13950986,52.13950986,31.8365612,1013.566629,61.06033847,14286955.65,14286955.65
107002,,91308,321,3.76590332,299.7440039,295.9781006,82.01633601,82.01633601,48.88285703,2389.533712,59.60136652,7488747.608,7488747.608
107003,,168951,5650,0.430316429,317.5363477,317.1060312,66.67956126,66.67956126,47.02844298,2211.674449,70.52902282,11265578.55,11265578.55
107004,,111619,3682,0.430316429,303.4908008,303.0604844,61.99112627,61.99112627,41.05423213,1685.449975,66.225982,6919387.523,6919387.523
107005,,26239,30,8.758483887,386.5369141,377.7784302,46.39029092,46.39029092,37.84428442,1432.189864,81.57802781,1217234.843,1217234.843
107006,,148162,789,0.549155045,221.7516211,221.202466,33.78122056,33.78122056,24.4433317,597.4764647,72.35775172,5005093.201,5005093.201
